2019-03-06 05:00:05,280 - WARNING - 220151921098, {'data': None, 'message': '系统可预约时间为 05:00 ~ 23:00', 'code': '1', 'status': 'fail'}, {'endTime': '1320', 'date': '2019-03-07', 'seat': 11141, 'token': 'DL6KC176AL03065947', 'startTime': '540'}
2019-03-06 05:00:05,746 - WARNING - 220151921150, {'data': None, 'message': '系统可预约时间为 05:00 ~ 23:00', 'code': '1', 'status': 'fail'}, {'endTime': '1320', 'date': '2019-03-07', 'seat': 11169, 'token': 'I5XK5EZ3HS03065947', 'startTime': '540'}
2019-03-06 05:02:05,515 - WARNING - 220151921098, {'data': None, 'message': '预约失败，请尽快选择其他时段或座位', 'code': '1', 'status': 'fail'}, {'endTime': '1320', 'date': '2019-03-07', 'seat': 11141, 'token': 'LX8V9IO2F403060147', 'startTime': '540'}
2019-03-06 05:02:05,756 - WARNING - 220151921150, {'data': None, 'message': '参数错误', 'code': '1', 'status': 'fail'}, {'endTime': '1320', 'date': '2019-03-07', 'seat': 11169, 'token': 'U11R3YAYQE03060147', 'startTime': '540'}
2019-03-06 06:45:00,419 - WARNING - 220151921098, {'data': None, 'message': '当前没有可用预约', 'code': '1', 'status': 'fail'}
2019-03-06 06:45:00,552 - WARNING - 220151921150, {'data': None, 'message': '当前没有可用预约', 'code': '1', 'status': 'fail'}
2019-03-06 06:50:00,225 - WARNING - 220151921098, {'data': None, 'message': '当前没有可用预约', 'code': '1', 'status': 'fail'}
2019-03-06 06:50:00,372 - WARNING - 220151921150, {'data': None, 'message': '当前没有可用预约', 'code': '1', 'status': 'fail'}
2019-03-06 07:45:00,156 - WARNING - 220151921098, {'data': None, 'message': '当前没有可用预约', 'code': '1', 'status': 'fail'}
2019-03-06 07:50:00,161 - WARNING - 220151921098, {'data': None, 'message': '当前没有可用预约', 'code': '1', 'status': 'fail'}
2019-03-06 08:45:00,180 - WARNING - 220151921098, {'data': None, 'message': '当前没有可用预约', 'code': '1', 'status': 'fail'}
2019-03-06 08:45:00,334 - WARNING - 220151921150, {'data': None, 'message': '当前没有可用预约', 'code': '1', 'status': 'fail'}
2019-03-06 08:50:00,151 - WARNING - 220151921098, {'data': None, 'message': '当前没有可用预约', 'code': '1', 'status': 'fail'}
2019-03-06 08:50:00,347 - WARNING - 220151921150, {'data': None, 'message': '当前没有可用预约', 'code': '1', 'status': 'fail'}
2019-03-06 09:45:00,144 - WARNING - 220151921098, {'data': None, 'message': '当前没有可用预约', 'code': '1', 'status': 'fail'}
2019-03-06 09:45:00,300 - WARNING - 220151921150, {'data': None, 'message': '当前没有可用预约', 'code': '1', 'status': 'fail'}
2019-03-06 09:50:00,162 - WARNING - 220151921098, {'data': None, 'message': '当前没有可用预约', 'code': '1', 'status': 'fail'}
2019-03-06 09:50:00,344 - WARNING - 220151921150, {'data': None, 'message': '当前没有可用预约', 'code': '1', 'status': 'fail'}
2019-03-06 10:45:00,129 - WARNING - 220151921098, {'data': None, 'message': '当前没有可用预约', 'code': '1', 'status': 'fail'}
2019-03-06 10:45:00,269 - WARNING - 220151921150, {'data': None, 'message': '当前没有可用预约', 'code': '1', 'status': 'fail'}
2019-03-06 10:50:00,187 - WARNING - 220151921098, {'data': None, 'message': '当前没有可用预约', 'code': '1', 'status': 'fail'}
2019-03-06 10:50:00,333 - WARNING - 220151921150, {'data': None, 'message': '当前没有可用预约', 'code': '1', 'status': 'fail'}
2019-03-06 11:45:00,335 - WARNING - 220151921150, {'data': None, 'message': '当前没有可用预约', 'code': '1', 'status': 'fail'}
2019-03-06 11:50:00,355 - WARNING - 220151921150, {'data': None, 'message': '当前没有可用预约', 'code': '1', 'status': 'fail'}
2019-03-06 12:45:00,141 - WARNING - 220151921098, {'data': None, 'message': '当前没有可用预约', 'code': '1', 'status': 'fail'}
2019-03-06 12:45:00,279 - WARNING - 220151921150, {'data': None, 'message': '当前没有可用预约', 'code': '1', 'status': 'fail'}
2019-03-06 12:50:00,196 - WARNING - 220151921098, {'data': None, 'message': '当前没有可用预约', 'code': '1', 'status': 'fail'}
2019-03-06 12:50:00,341 - WARNING - 220151921150, {'data': None, 'message': '当前没有可用预约', 'code': '1', 'status': 'fail'}
2019-03-06 13:45:00,230 - WARNING - 220151921098, {'data': None, 'message': '当前没有可用预约', 'code': '1', 'status': 'fail'}
2019-03-06 13:45:00,378 - WARNING - 220151921150, {'data': None, 'message': '当前没有可用预约', 'code': '1', 'status': 'fail'}
2019-03-06 13:50:00,144 - WARNING - 220151921098, {'data': None, 'message': '当前没有可用预约', 'code': '1', 'status': 'fail'}
2019-03-06 13:50:00,299 - WARNING - 220151921150, {'data': None, 'message': '当前没有可用预约', 'code': '1', 'status': 'fail'}
2019-03-06 14:45:00,139 - WARNING - 220151921098, {'data': None, 'message': '当前没有可用预约', 'code': '1', 'status': 'fail'}
2019-03-06 14:45:00,264 - WARNING - 220151921150, {'data': None, 'message': '当前没有可用预约', 'code': '1', 'status': 'fail'}
2019-03-06 14:50:00,259 - WARNING - 220151921098, {'data': None, 'message': '当前没有可用预约', 'code': '1', 'status': 'fail'}
2019-03-06 14:50:00,391 - WARNING - 220151921150, {'data': None, 'message': '当前没有可用预约', 'code': '1', 'status': 'fail'}
2019-03-06 15:45:00,205 - WARNING - 220151921098, {'data': None, 'message': '当前没有可用预约', 'code': '1', 'status': 'fail'}
